ignore,stock_code,url,basename,industry,polarity
,5020,https://f.irbank.net/pdf/20220210/140120220208582663.pdf,00000001.pdf,資源・エネルギー,増
,5019,https://f.irbank.net/pdf/20211109/140120211109428696.pdf,00000002.pdf,資源・エネルギー,増
,5021,https://f.irbank.net/pdf/20210805/140120210804478796.pdf,00000003.pdf,資源・エネルギー,増
,1514,https://f.irbank.net/pdf/20210730/140120210716468385.pdf,00000004.pdf,資源・エネルギー,減
,5008,https://f.irbank.net/pdf/20211028/140120211025416258.pdf,00000005.pdf,資源・エネルギー,減
,9503,https://f.irbank.net/pdf/20220128/140120220119569537.pdf,00000006.pdf,資源・エネルギー,減
,9532,https://f.irbank.net/pdf/20220131/140120220131575759.pdf,00000007.pdf,資源・エネルギー,増
,9513,https://f.irbank.net/pdf/20211029/140120211025416244.pdf,00000008.pdf,資源・エネルギー,増
,3777,https://f.irbank.net/pdf/20211112/140120211015412128.pdf,00000009.pdf,資源・エネルギー,減
,1711,https://f.irbank.net/pdf/20210810/140120210810482512.pdf,00000010.pdf,資源・エネルギー,増
,3402,https://f.irbank.net/pdf/20210804/140120210802476800.pdf,00000011.pdf,素材,増*
,3409,https://f.irbank.net/pdf/20211112/140120211111433233.pdf,00000012.pdf,素材,増?
,3861,https://f.irbank.net/pdf/20220204/140120220204580391.pdf,00000013.pdf,素材,増
,3953,https://f.irbank.net/pdf/20220210/140120220122570993.pdf,00000014.pdf,素材,増
,4188,https://f.irbank.net/pdf/20211102/140120211101422304.pdf,00000015.pdf,素材,増*
,4229,https://f.irbank.net/pdf/20210730/140120210729474263.pdf,00000016.pdf,素材,増
,7240,https://f.irbank.net/pdf/20210803/140120210803477285.pdf,00000017.pdf,素材,増
,5104,https://f.irbank.net/pdf/20211028/140120211014410851.pdf,00000018.pdf,素材,増
,5202,https://f.irbank.net/pdf/20220203/140120220202578747.pdf,00000019.pdf,素材,増
,5395,https://f.irbank.net/pdf/20210806/140120210804478645.pdf,00000020.pdf,素材,減
,7012,https://f.irbank.net/pdf/20220202/140120220201577786.pdf,00000021.pdf,機械・エレクトロニクス,増
,6248,https://f.irbank.net/pdf/20211110/140120211105425397.pdf,00000022.pdf,機械・エレクトロニクス,減
,6326,https://f.irbank.net/pdf/20210514/140120210419496415.pdf,00000023.pdf,機械・エレクトロニクス,増
,6165,https://f.irbank.net/pdf/20210806/140120210727471859.pdf,00000024.pdf,機械・エレクトロニクス,増
,7733,https://f.irbank.net/pdf/20210805/140120210805479846.pdf,00000025.pdf,機械・エレクトロニクス,増
,7725,https://f.irbank.net/pdf/20220411/140120220408519537.pdf,00000026.pdf,機械・エレクトロニクス,減
1.0,4901,https://f.irbank.net/pdf/20211104/140120211101422717.pdf,00000027.pdf,機械・エレクトロニクス,増
,4901,https://f.irbank.net/pdf/20220209/140120220208583126.pdf,00000028.pdf,機械・エレクトロニクス,増
,6696,https://f.irbank.net/pdf/20211207/140120211207447724.pdf,00000029.pdf,機械・エレクトロニクス,減?
,6367,https://f.irbank.net/pdf/20220207/140120220204580302.pdf,00000030.pdf,機械・エレクトロニクス,増
,6620,https://f.irbank.net/pdf/20220210/140120220201577844.pdf,00000031.pdf,機械・エレクトロニクス,減*
,7269,https://f.irbank.net/pdf/20211111/140120211026417178.pdf,00000032.pdf,輸送機器,増
,6201,https://f.irbank.net/pdf/20210730/140120210729473876.pdf,00000033.pdf,輸送機器,増
,6402,https://f.irbank.net/pdf/20210806/140120210719468798.pdf,00000034.pdf,輸送機器,増
,6902,https://f.irbank.net/pdf/20211029/140120211028418694.pdf,00000035.pdf,輸送機器,増*
,4250,https://f.irbank.net/pdf/20220414/140120220414522059.pdf,00000036.pdf,輸送機器,増?
,7014,https://f.irbank.net/pdf/20220214/140120220202578208.pdf,00000037.pdf,輸送機器,減
,6814,https://f.irbank.net/pdf/20220114/140120220113567430.pdf,00000038.pdf,輸送機器,増
,6042,https://f.irbank.net/pdf/20220131/140120220125572368.pdf,00000039.pdf,輸送機器,増
,7039,https://f.irbank.net/pdf/20210427/140120210426499909.pdf,00000040.pdf,輸送機器,増
,6505,https://f.irbank.net/pdf/20220112/140120220111566073.pdf,00000041.pdf,輸送機器,減
,2269,https://f.irbank.net/pdf/20211109/140120211021414581.pdf,00000042.pdf,食品,減
,2282,https://f.irbank.net/pdf/20210802/140120210715467544.pdf,00000043.pdf,食品,増
,2802,https://f.irbank.net/pdf/20210730/140120210730474948.pdf,00000044.pdf,食品,増
,2901,https://f.irbank.net/pdf/20211111/140120211108427358.pdf,00000045.pdf,食品,減
,1382,https://f.irbank.net/pdf/20220204/140120220104563347.pdf,00000046.pdf,食品,減
,2502,https://f.irbank.net/pdf/20210810/140120210806481066.pdf,00000047.pdf,食品,増*
,2587,https://f.irbank.net/pdf/20211111/140120211111431481.pdf,00000048.pdf,食品,増*
,2579,https://f.irbank.net/pdf/20211111/140120211110431284.pdf,00000049.pdf,食品,減*
,2599,https://f.irbank.net/pdf/20220207/140120220201577555.pdf,00000050.pdf,食品,減
,2597,https://f.irbank.net/pdf/20210813/140120210802476146.pdf,00000051.pdf,食品,増
,9983,https://f.irbank.net/pdf/20220414/140120220413520835.pdf,00000052.pdf,生活,増*
,3612,https://f.irbank.net/pdf/20211104/140120211103423830.pdf,00000053.pdf,生活,減*
,3045,https://f.irbank.net/pdf/20220114/140120220105563851.pdf,00000054.pdf,生活,減?
,7810,https://f.irbank.net/pdf/20220316/140120220316506406.pdf,00000055.pdf,生活,増
,4452,https://f.irbank.net/pdf/20210507/140120210507407144.pdf,00000056.pdf,生活,減
,4911,https://f.irbank.net/pdf/20210512/140120210511411859.pdf,00000057.pdf,生活,増
,3840,https://f.irbank.net/pdf/20220214/140120220214590019.pdf,00000058.pdf,生活,減
,7974,https://f.irbank.net/pdf/20211104/140120211029421333.pdf,00000059.pdf,生活,減
,7936,https://f.irbank.net/pdf/20210813/140120210813485783.pdf,00000060.pdf,生活,増
,7847,https://f.irbank.net/pdf/20210714/140120210712464906.pdf,00000061.pdf,生活,増
,4502,https://f.irbank.net/pdf/20210730/140120210729474299.pdf,00000062.pdf,医療医薬・バイオ,増*
,4578,https://f.irbank.net/pdf/20211112/140120211112433797.pdf,00000063.pdf,医療医薬・バイオ,増*
,4503,https://f.irbank.net/pdf/20210730/140120210729474204.pdf,00000064.pdf,医療医薬・バイオ,増*
,4593,https://f.irbank.net/pdf/20211112/140120211112434486.pdf,00000065.pdf,医療医薬・バイオ,増*
,4563,https://f.irbank.net/pdf/20210806/140120210805479965.pdf,00000066.pdf,医療医薬・バイオ,増
,7741,https://f.irbank.net/pdf/20211028/140120211027418389.pdf,00000067.pdf,医療医薬・バイオ,増*
,7780,https://f.irbank.net/pdf/20220214/140120220210588082.pdf,00000068.pdf,医療医薬・バイオ,増
,7840,https://f.irbank.net/pdf/20220204/140120220202578053.pdf,00000069.pdf,医療医薬・バイオ,増
,7782,https://f.irbank.net/pdf/20210514/140120210427400870.pdf,00000070.pdf,医療医薬・バイオ,増
,7807,https://f.irbank.net/pdf/20210715/140120210715467239.pdf,00000071.pdf,医療医薬・バイオ,増
,1812,https://f.irbank.net/pdf/20211109/140120211108427506.pdf,00000072.pdf,建設・不動産,増
,1802,https://f.irbank.net/pdf/20210805/140120210629458361.pdf,00000073.pdf,建設・不動産,増
,1771,https://f.irbank.net/pdf/20210812/140120210810481987.pdf,00000074.pdf,建設・不動産,増
,5921,https://f.irbank.net/pdf/20220210/140120220118568917.pdf,00000075.pdf,建設・不動産,増
,5233,https://f.irbank.net/pdf/20210810/140120210805479747.pdf,00000076.pdf,建設・不動産,減
,5929,https://f.irbank.net/pdf/20211029/140120211020413884.pdf,00000077.pdf,建設・不動産,増
,5341,https://f.irbank.net/pdf/20211015/140120211012409795.pdf,00000078.pdf,建設・不動産,減
,1925,https://f.irbank.net/pdf/20220210/140120220209585001.pdf,00000079.pdf,建設・不動産,増
,1928,https://f.irbank.net/pdf/20210909/140120210908495742.pdf,00000080.pdf,建設・不動産,増
,6091,https://f.irbank.net/pdf/20211213/140120211206446831.pdf,00000081.pdf,建設・不動産,増
,8001,https://f.irbank.net/pdf/20220203/140120220203579116.pdf,00000082.pdf,商社・卸売,増*
